query,base_output,finetuned_r16_output,finetuned_json_valid
Ngành Khoa học Máy tính học phí bao nhiêu?,"{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học phí ngành Khoa học Máy tính VinUni""}","{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học phí ngành Khoa học Máy tính VinUni""}",True
Học phí bao nhiêu?,"{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học phí VinUni""}","{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học phí VinUni""}",True
Em muốn biết học bổng VinUni cần điều kiện gì?,"{""intent"":""scholarship_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học bổng VinUni cần điều kiện gì""}","{""intent"":""scholarship_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""học bổng VinUni cần điều kiện gì""}",True
Deadline nộp hồ sơ năm 2026 là khi nào?,"{""intent"":""timeline_process"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""thời gian nộp hồ sơ VinUni 2026""}","{""intent"":""timeline_process"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""thời gian nộp hồ sơ VinUni 2026""}",True
Ngành Data Science học những gì?,"{""intent"":""program_info"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""Thông tin chương trình học Data Science VinUni""}","{""intent"":""program_info"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""Thông tin chương trình học Data Science VinUni""}",True
Cảm ơn bạn nhé,"{""intent"":""general_question"",""answer_mode"":""direct"",""needs_retrieval"":false,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":null}","{""intent"":""general_question"",""answer_mode"":""direct"",""needs_retrieval"":false,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":null}",True
Có cần IELTS để vào ngành AI không?,"{""intent"":""scholarship_requirement"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""cần IELTS để vào ngành AI VinUni""}","{""intent"":""scholarship_requirement"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""cần IELTS để vào ngành AI VinUni""}",True
VinUni có ký túc xá không?,"{""intent"":""school_info"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""Thông tin về VinUni""}","{""intent"":""school_info"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""Thông tin về VinUni""}",True
hoc phi nganh ai bao nhieu,"{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""chi phi hoc tan nganh""}","{""intent"":""tuition_lookup"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""chi phi hoc tan nganh""}",True
Cho mình hỏi quy trình apply vào VinUni,"{""intent"":""timeline_process"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""apply process vinuni""}","{""intent"":""timeline_process"",""answer_mode"":""retrieve"",""needs_retrieval"":true,""needs_clarification"":false,""clarification_question"":null,""transformed_query"":""apply process vinuni""}",True
